url;name;isVerified;repositories;membersWithRole;members
https://github.com/mewna;Mewna;True;18;1;1
https://github.com/bots-gg;bots.gg;False;3;14;1
https://github.com/massdriver-cloud;Massdriver, Inc.;False;91;1;1
https://github.com/resque;Resque;False;9;17;1
https://github.com/pedestal;Pedestal;False;7;14;1
https://github.com/spreadshirt;Spreadshirt;False;40;2;1
https://github.com/codegirls;codegirls;False;13;3;1
https://github.com/pixie-lang;pixie-lang;False;6;3;1
https://github.com/heartheartheart;The <3<3<3 collective;False;2;3;1
https://github.com/partkeepr;PartKeepr;True;27;3;1
https://github.com/codekuma;Code Kuma;False;2;3;1
https://github.com/mdx-js;mdx-js;True;13;15;1
https://github.com/haskell-paris;haskell-paris;False;4;2;1
https://github.com/uwa;The University of Western Australia;False;0;1;1
https://github.com/SoutHACKton;SoutHACKton;False;4;10;1
https://github.com/IBM;International Business Machines;True;2844;2890;1
https://github.com/somakeit;So Make It;False;51;7;1
https://github.com/lapoissonnerie;La poissonnerie;False;0;2;1
https://github.com/Day-One-Engagement-Competences;Day One;False;0;1;1
https://github.com/themanaworld;The Mana World;True;26;10;2
https://github.com/dogbin;dogbin;False;7;1;1
https://github.com/openrightsgroup;Open Rights Group;False;31;13;1
https://github.com/elixir-lang;The Elixir programming language;False;10;15;1
https://github.com/Code-and-Coffee-YVR;Code & Coffee;False;8;5;1
https://github.com/robot-overlord;Robot Overlord Software Inc.;False;2;2;1
https://github.com/YVRDev;YVRDev;False;5;2;1
https://github.com/vanfp;Vancouver Functional Programming Meetup;False;3;2;1
https://github.com/cambiecollective;Cambie Collective;False;5;3;1
https://github.com/spadebuilders;SPADE;False;19;3;1
https://github.com/fission-codes;Fission;True;116;7;1
https://github.com/ethereum-specification;Ethereum Specification;False;1;3;1
https://github.com/witchcrafters;Witchcraft Suite;False;6;6;1
https://github.com/ucan-wg;UCAN Working Group;False;17;8;1
https://github.com/wnfs-wg;WNFS Working Group;False;7;5;1
https://github.com/ipvm-wg;IPVM Working Group;False;4;1;1
https://github.com/RhizomeDB;RhizomeDB;False;1;1;1
https://github.com/oddsdk;ODD SDK;False;15;4;1
https://github.com/highgroove;Big Nerd Ranch;False;34;13;1
https://github.com/wiserstudios;Wiserstudios LLC;False;10;1;1
https://github.com/deftinc;Deft Inc;True;18;1;1
https://github.com/flowerworkio;Flowerwork;True;4;2;1
https://github.com/flowerworkio-seeds;Flowerwork seeds;False;2;2;1
https://github.com/compassx-group;CompassX Group;False;0;1;1
https://github.com/ricochet-im;Ricochet IM;False;4;2;1
https://github.com/GitHubBounty;GitHub Security Bug Bounty;False;0;96;1
https://github.com/OnionScan;OnionScan;False;1;1;1
https://github.com/OpenPriv;Open Privacy;False;2;1;1
https://github.com/namecoin;Namecoin;False;59;4;1
https://github.com/ThreatDetectives;ThreatDetectives;False;5;1;1
https://github.com/nzgreens;Green Party of Aotearoa / NZ;False;5;2;1
https://github.com/yourfirstpr;Your First PR;False;1;1;1
https://github.com/WeAllJS;WeAllJS;False;5;5;1
https://github.com/maintainers;Open Source Maintainers on GitHub [moved];False;3;332;1
https://github.com/fruitfuljs;fruitful;False;2;3;1
https://github.com/entropic-dev;Entropic;False;11;1;1
https://github.com/mutantstandard;Mutant Standard;False;4;2;2
https://github.com/voxpupuli;Vox Pupuli;False;297;75;1
https://github.com/FFPiHaskell;Fortgeschrittene Funktionale Programmierung In Haskell;False;6;2;1
https://github.com/CraftMinecraft;CMC Development;False;28;1;1
https://github.com/SmartSimTech;SmartSimTech;False;1;1;1
https://github.com/FlatStoneTech;FlatStone Tech;False;3;3;1
https://github.com/FireLabsCA;FireLabs;False;0;1;1
https://github.com/BlueHuskyStudios;Blue Husky Studios;True;72;1;1
https://github.com/EpicGames;Epic Games;False;11;2461;1
https://github.com/Peekeet;Peekeet Ltd;False;2;1;1
https://github.com/inkstainblue;Ink Stain Blue;False;1;1;1
https://github.com/geeksforsocialchange;Geeks for Social Change;False;25;5;1
https://github.com/replicate;Replicate;False;44;9;1
https://github.com/GenderedIntelligence;Gendered Intelligence;False;2;3;1
https://github.com/The-White-Pube;The White Pube;False;0;2;1
https://github.com/compliantcannabis-com;Compliant Cannabis;False;0;1;1
https://github.com/diversityMuenchen;diversity München;False;2;2;1
https://github.com/eu;eu;False;2;19;1
https://github.com/kuswo;Kommunal & selbstverwaltet Wohnen;False;0;1;1
https://github.com/quai10;Quai n°10;False;5;1;1
https://github.com/RaccoonStudio;Raccoon Studio;False;3;1;1
https://github.com/THISSpartans;{Hack, THIS};False;6;3;1
https://github.com/fosbosmuenchen;Staatl. FOSBOS München;False;1;1;1
https://github.com/squareup;Square, Inc;True;0;866;1
https://github.com/algorhythm-electronics;AlgoRhythm Electronics;False;0;1;1
https://github.com/fastly;Fastly;False;221;34;1
